Solution,Row#,Guesses[Indices]
bathe,7,"crane[0, 0, 1, 0, 2]/ladee[0, 2, 0, 1, 2]/maize[0, 2, 0, 0, 2]/gaffe[0, 2, 0, 0, 2]/taube[1, 2, 0, 1, 2]/baste[2, 2, 0, 1, 2]"
micro,3,"cream[1, 1, 0, 0, 1]/mucro[2, 0, 2, 2, 2]"
poker,5,"reast[1, 1, 0, 0, 0]/doner[0, 2, 0, 2, 2]/porer[2, 2, 1, 2, 2]/power[2, 2, 0, 2, 2]"
bring,4,"cream[0, 2, 0, 0, 0]/wring[0, 2, 2, 2, 2]/iring[1, 2, 2, 2, 2]"
enter,5,"slate[0, 0, 0, 1, 1]/metro[0, 1, 2, 1, 0]/utter[0, 1, 2, 2, 2]/inter[0, 2, 2, 2, 2]"
bleep,4,"crane[0, 0, 0, 0, 1]/sizel[0, 0, 0, 2, 1]/upled[0, 1, 1, 2, 0]"
heist,4,"drape[0, 0, 0, 0, 1]/welts[0, 2, 0, 1, 1]/feist[0, 2, 2, 2, 2]"
chide,5,"reast[0, 1, 0, 0, 0]/luged[0, 0, 0, 1, 1]/odeon[0, 1, 1, 0, 0]/imide[1, 0, 2, 2, 2]"
medal,3,"later[1, 1, 0, 1, 0]/melam[2, 2, 1, 2, 1]"
preen,3,"trace[0, 2, 0, 0, 1]/urped[0, 2, 1, 2, 0]"
ennui,4,"atone[0, 0, 0, 1, 1]/wends[0, 1, 2, 0, 0]/cunei[0, 1, 2, 1, 2]"
pitch,4,"arise[0, 0, 1, 0, 0]/jinni[0, 2, 0, 0, 1]/piggy[2, 2, 0, 0, 0]"
disco,4,"slate[1, 0, 0, 0, 0]/fogos[0, 1, 0, 1, 1]/whops[0, 0, 1, 0, 1]"
swami,4,"atone[1, 0, 0, 0, 0]/misal[1, 1, 1, 1, 0]/saims[2, 1, 1, 2, 1]"
truer,5,"salet[0, 0, 0, 2, 1]/meter[0, 1, 1, 2, 2]/tower[2, 0, 0, 2, 2]/tiger[2, 0, 0, 2, 2]"
grand,4,"salet[0, 1, 0, 0, 0]/quank[0, 0, 2, 2, 0]/brand[0, 2, 2, 2, 2]"
catty,6,"media[0, 0, 0, 0, 1]/gowan[0, 0, 0, 1, 0]/appuy[1, 0, 0, 0, 2]/slaty[0, 0, 1, 2, 2]/tatty[1, 2, 2, 2, 2]"
idyll,3,"trace[0, 0, 0, 0, 0]/doyly[1, 0, 2, 2, 1]"
arbor,4,"media[0, 0, 0, 0, 1]/punas[0, 0, 0, 1, 0]/arrow[2, 2, 1, 2, 0]"
angle,2,"alone[2, 1, 0, 1, 2]"
cough,4,"slate[0, 0, 0, 0, 0]/hurry[1, 1, 0, 0, 0]/gouch[1, 2, 2, 1, 2]"
pride,4,"adieu[0, 1, 2, 1, 0]/slide[0, 0, 2, 2, 2]/bride[0, 2, 2, 2, 2]"
organ,4,"adieu[1, 0, 0, 0, 0]/stabs[0, 0, 1, 0, 0]/oxman[2, 0, 0, 2, 2]"
nomad,5,"reast[0, 0, 1, 0, 0]/nakfa[2, 1, 0, 0, 1]/nopal[2, 2, 0, 2, 0]/nonan[2, 2, 1, 2, 1]"
noble,5,"sauce[0, 0, 0, 0, 2]/mieve[0, 0, 1, 0, 2]/forte[0, 2, 0, 0, 2]/bonze[1, 2, 1, 0, 2]"
