Solution,Row#,Guesses[Indices]
cloak,4,"paint[0, 1, 0, 0, 0]/flaky[0, 2, 1, 1, 0]/alurk[1, 2, 0, 0, 2]"
buxom,5,"react[0, 0, 0, 0, 0]/moldy[1, 1, 0, 0, 0]/smoko[0, 1, 1, 0, 1]/himbo[0, 0, 1, 1, 1]"
privy,3,"alone[0, 0, 0, 0, 0]/civic[0, 1, 1, 1, 0]"
floss,5,"about[0, 0, 2, 0, 0]/droll[0, 0, 2, 1, 1]/clomp[0, 2, 2, 0, 0]/slows[1, 2, 2, 0, 2]"
defer,4,"arise[0, 1, 0, 0, 1]/forel[1, 0, 1, 2, 0]/refed[1, 2, 2, 2, 1]"
doubt,4,"snare[0, 0, 0, 0, 0]/locky[0, 2, 0, 0, 0]/vomit[0, 2, 0, 0, 2]"
marry,3,"snare[0, 0, 1, 2, 0]/cobra[0, 0, 0, 2, 1]"
junta,5,"worse[0, 0, 0, 0, 0]/ninny[1, 0, 2, 1, 0]/mandy[0, 1, 2, 0, 0]/annan[1, 1, 2, 1, 1]"
spasm,4,"drape[0, 0, 2, 1, 0]/apays[1, 2, 2, 0, 1]/spank[2, 2, 2, 0, 0]"
glaze,5,"atone[1, 0, 0, 0, 2]/raike[0, 1, 0, 0, 2]/cease[0, 1, 2, 0, 2]/glade[2, 2, 2, 0, 2]"
mangy,4,"later[0, 2, 0, 0, 0]/canid[0, 2, 2, 0, 0]/fango[0, 2, 2, 2, 0]"
hound,4,"drape[1, 0, 0, 0, 0]/width[0, 0, 1, 0, 1]/hoods[2, 2, 1, 1, 0]"
honey,5,"media[0, 1, 0, 0, 0]/skeos[0, 0, 1, 1, 0]/quote[0, 0, 1, 0, 1]/gonef[0, 2, 2, 2, 0]"
blend,3,"crate[0, 0, 0, 0, 1]/unfed[0, 1, 0, 1, 2]"
light,4,"crane[0, 0, 0, 0, 0]/ology[0, 1, 0, 1, 0]/gulps[1, 0, 1, 0, 0]"
graze,3,"arise[1, 2, 0, 0, 2]/crate[0, 2, 2, 0, 2]"
ditto,4,"sired[0, 2, 0, 0, 1]/diact[2, 2, 0, 0, 1]/ditty[2, 2, 2, 2, 0]"
erase,3,"anime[1, 0, 0, 0, 2]/bathe[0, 1, 0, 0, 2]"
nutty,5,"snare[0, 1, 0, 0, 0]/boing[0, 0, 0, 1, 0]/hunch[0, 2, 1, 0, 0]/nully[2, 2, 0, 0, 2]"
tango,5,"adieu[1, 0, 0, 0, 0]/clams[0, 0, 1, 0, 0]/zakat[0, 2, 0, 1, 1]/tangy[2, 2, 2, 2, 0]"
deter,4,"about[0, 0, 0, 0, 1]/tifts[1, 0, 0, 1, 0]/zests[0, 2, 0, 1, 0]"
prick,4,"adieu[0, 0, 2, 0, 0]/skips[0, 1, 2, 1, 0]/plink[2, 0, 2, 0, 2]"
gamma,5,"atone[1, 0, 0, 0, 0]/draff[0, 0, 1, 0, 0]/kavas[0, 2, 0, 1, 0]/haply[0, 2, 0, 0, 0]"
mourn,3,"roast[1, 2, 0, 0, 0]/vomer[0, 2, 1, 0, 1]"
panic,4,"media[0, 0, 0, 2, 1]/scail[0, 1, 1, 2, 0]/capiz[1, 2, 1, 2, 0]"
tryst,4,"paint[0, 0, 0, 0, 2]/octet[0, 0, 1, 0, 2]/strut[1, 1, 1, 0, 2]"
crane,5,"drape[0, 2, 2, 0, 2]/crave[2, 2, 2, 0, 2]/craze[2, 2, 2, 0, 2]/crare[2, 2, 2, 1, 2]"
shirt,4,"slate[2, 0, 0, 1, 0]/stood[2, 1, 0, 0, 0]/shtup[2, 2, 1, 0, 0]"
lusty,3,"slate[1, 1, 0, 2, 0]/jilts[0, 0, 1, 2, 1]"
wrath,6,"sauce[0, 1, 0, 0, 0]/jibba[0, 0, 0, 0, 1]/amman[1, 0, 0, 1, 0]/troad[1, 2, 0, 1, 0]/grant[0, 2, 2, 0, 1]"
latte,6,"cream[0, 0, 1, 1, 0]/snake[0, 0, 1, 0, 2]/hayle[0, 2, 0, 1, 2]/walie[0, 2, 1, 0, 2]/ladee[2, 2, 0, 1, 2]"
oaken,7,"anime[1, 1, 0, 0, 1]/genua[0, 1, 1, 0, 1]/laden[0, 2, 0, 2, 2]/haven[0, 2, 0, 2, 2]/eaten[1, 2, 0, 2, 2]/waken[0, 2, 2, 2, 2]"
twine,6,"drape[0, 0, 0, 0, 2]/flume[0, 0, 0, 0, 2]/botte[0, 0, 1, 1, 2]/geste[0, 1, 0, 1, 2]/thine[2, 0, 2, 2, 2]"
start,5,"arise[1, 1, 0, 1, 0]/buras[0, 0, 1, 1, 1]/swarm[2, 0, 2, 2, 0]/sharp[2, 0, 2, 2, 0]"
parer,5,"trace[0, 1, 1, 0, 1]/feral[0, 1, 2, 1, 0]/wared[0, 2, 2, 2, 0]/harem[0, 2, 2, 2, 0]"
scarf,4,"prowl[0, 1, 0, 0, 0]/infer[0, 0, 1, 0, 1]/surfy[2, 0, 1, 1, 0]"
crane,8,"irate[0, 2, 2, 0, 2]/braze[0, 2, 2, 0, 2]/drake[0, 2, 2, 0, 2]/grape[0, 2, 2, 0, 2]/erase[1, 2, 2, 0, 2]/arame[1, 2, 2, 0, 2]/crave[2, 2, 2, 0, 2]"
wacky,4,"prowl[0, 0, 0, 1, 0]/watch[2, 2, 0, 1, 0]/wacke[2, 2, 2, 2, 0]"
purge,5,"roast[1, 0, 0, 0, 0]/erred[1, 1, 2, 1, 0]/ydred[0, 0, 2, 1, 0]/merch[0, 1, 2, 0, 0]"
lapse,4,"sired[1, 0, 0, 1, 0]/toeas[0, 0, 1, 1, 1]/halse[0, 2, 1, 2, 2]"
digit,4,"media[0, 0, 1, 2, 0]/zooid[0, 0, 0, 2, 1]/divis[2, 2, 0, 2, 0]"
outdo,4,"alone[0, 0, 1, 0, 0]/dzhos[1, 0, 0, 1, 0]/wordy[0, 1, 0, 2, 0]"
clone,6,"irate[0, 0, 0, 0, 2]/heeze[0, 1, 1, 0, 2]/vouge[0, 1, 0, 0, 2]/myope[0, 0, 2, 0, 2]/cloke[2, 2, 2, 0, 2]"
sappy,7,"sired[2, 0, 0, 0, 0]/soggy[2, 0, 0, 0, 2]/saucy[2, 2, 0, 0, 2]/satay[2, 2, 0, 1, 2]/sally[2, 2, 0, 0, 2]/savvy[2, 2, 0, 0, 2]"
knack,6,"atone[1, 0, 0, 1, 0]/uhlan[0, 0, 0, 1, 1]/ninja[1, 0, 1, 0, 1]/rangy[0, 1, 1, 0, 0]/snaws[0, 2, 2, 0, 0]"
stuff,3,"sired[2, 0, 0, 0, 0]/sangs[2, 0, 0, 0, 1]"
strap,4,"sauce[2, 1, 0, 0, 0]/stain[2, 2, 1, 0, 0]/strak[2, 2, 2, 2, 0]"
arson,3,"sauce[1, 1, 0, 0, 0]/algos[2, 0, 0, 2, 1]"
wispy,3,"atone[0, 0, 0, 0, 0]/pushy[1, 0, 2, 0, 2]"
vapor,4,"about[1, 0, 1, 0, 0]/laevo[0, 2, 0, 1, 1]/havoc[0, 2, 1, 2, 0]"
vault,4,"slate[0, 1, 1, 1, 0]/atilt[1, 1, 0, 2, 2]/fault[0, 2, 2, 2, 2]"
bonus,4,"reast[0, 0, 0, 1, 0]/docks[0, 2, 0, 0, 2]/boobs[2, 2, 1, 1, 2]"
amend,4,"react[0, 1, 1, 0, 0]/laxes[0, 1, 0, 1, 0]/enema[1, 1, 2, 1, 1]"
guest,5,"slate[1, 0, 0, 1, 1]/treys[1, 0, 2, 0, 1]/ghest[2, 0, 2, 2, 2]/geest[2, 1, 2, 2, 2]"
eater,7,"adieu[1, 0, 0, 2, 0]/waxes[0, 2, 0, 2, 0]/farer[0, 2, 1, 2, 2]/later[0, 2, 2, 2, 2]/tater[1, 2, 2, 2, 2]/rater[1, 2, 2, 2, 2]"
blind,4,"react[0, 0, 0, 0, 0]/mopus[0, 0, 0, 0, 0]/biggy[2, 1, 0, 0, 0]"
toxic,4,"crane[1, 0, 0, 0, 0]/flock[0, 0, 1, 1, 0]/mocos[0, 2, 1, 1, 0]"
pleat,4,"roast[0, 0, 1, 0, 2]/galut[0, 1, 1, 0, 2]/bleat[0, 2, 2, 2, 2]"
whine,6,"later[0, 0, 0, 1, 0]/mouse[0, 0, 0, 0, 2]/ngege[1, 0, 1, 0, 2]/penie[0, 1, 1, 1, 2]/knife[0, 1, 2, 0, 2]"
usher,4,"atone[0, 0, 0, 0, 1]/rykes[1, 0, 0, 2, 1]/super[1, 1, 0, 2, 2]"
tacit,4,"worse[0, 0, 0, 0, 0]/chuff[1, 0, 0, 0, 0]/jacky[0, 2, 2, 0, 0]"
penny,3,"crane[0, 0, 0, 2, 1]/peons[2, 2, 0, 2, 0]"
manic,4,"media[2, 0, 0, 2, 1]/maxis[2, 2, 0, 2, 0]/magic[2, 2, 0, 2, 2]"
curve,4,"atone[0, 0, 0, 0, 2]/budge[0, 2, 0, 0, 2]/lurve[0, 2, 2, 2, 2]"
aptly,5,"arise[2, 0, 0, 0, 0]/afoul[2, 0, 0, 0, 1]/allay[2, 1, 1, 1, 2]/apply[2, 2, 1, 2, 2]"
dumpy,5,"irate[0, 0, 0, 0, 0]/plush[1, 0, 1, 0, 0]/yupon[1, 2, 1, 0, 0]/bumpy[0, 2, 2, 2, 2]"
alone,4,"later[1, 1, 0, 1, 0]/slade[0, 2, 1, 0, 2]/alive[2, 2, 0, 0, 2]"
civic,5,"salet[0, 0, 0, 0, 0]/gizmo[0, 2, 0, 0, 0]/pichi[0, 2, 1, 0, 1]/civvy[2, 2, 2, 1, 0]"
churn,6,"sired[0, 0, 1, 0, 0]/brava[0, 1, 0, 0, 0]/lowry[0, 0, 0, 2, 0]/uhuru[1, 2, 2, 2, 1]/churr[2, 2, 2, 2, 1]"
usher,3,"later[0, 0, 0, 2, 2]/osier[0, 2, 0, 2, 2]"
algae,4,"cream[0, 0, 1, 2, 0]/bepat[0, 1, 0, 2, 0]/volae[0, 0, 1, 2, 2]"
llama,4,"worse[0, 0, 0, 0, 0]/machi[1, 1, 0, 0, 0]/alumy[1, 2, 0, 2, 0]"
mogul,4,"paint[0, 0, 0, 0, 0]/doozy[0, 2, 1, 0, 0]/mower[2, 2, 0, 0, 0]"
wheat,5,"prowl[0, 0, 0, 1, 0]/mawed[0, 1, 1, 1, 0]/awake[1, 1, 1, 0, 1]/wekas[2, 1, 0, 2, 0]"
equal,5,"sired[0, 0, 0, 1, 0]/apple[1, 0, 0, 1, 1]/glean[0, 1, 1, 2, 0]/melam[0, 1, 1, 2, 0]"
sewer,5,"media[0, 2, 0, 0, 0]/yerks[0, 2, 1, 0, 1]/resto[1, 2, 1, 0, 0]/sefer[2, 2, 0, 2, 2]"
facet,3,"sauce[0, 2, 0, 1, 1]/lacet[0, 2, 2, 2, 2]"
layer,5,"anime[1, 0, 0, 0, 1]/teach[0, 1, 1, 0, 0]/babel[0, 2, 0, 2, 1]/lazes[2, 2, 0, 2, 0]"
smack,5,"trace[0, 0, 2, 2, 0]/knack[1, 0, 2, 2, 2]/flack[0, 0, 2, 2, 2]/swack[2, 0, 2, 2, 2]"
watch,3,"react[0, 0, 1, 2, 1]/patch[0, 2, 2, 2, 2]"
chore,4,"alone[0, 0, 2, 0, 2]/proke[0, 1, 2, 0, 2]/roose[1, 1, 2, 0, 2]"
pesky,5,"slate[1, 0, 0, 0, 1]/ogees[0, 0, 1, 1, 1]/memes[0, 2, 0, 1, 1]/pensy[2, 2, 0, 1, 2]"
older,4,"tears[0, 1, 0, 1, 0]/gruel[0, 1, 0, 2, 1]/idler[0, 1, 1, 2, 2]"
covey,5,"slate[0, 0, 0, 0, 1]/biker[0, 0, 0, 2, 0]/cumec[2, 0, 0, 2, 1]/cooey[2, 2, 1, 2, 2]"
irony,5,"drape[0, 2, 0, 0, 0]/frith[0, 2, 1, 0, 0]/broil[0, 2, 2, 1, 0]/iroko[2, 2, 2, 0, 1]"
marsh,4,"paint[0, 2, 0, 0, 0]/backs[0, 2, 0, 0, 1]/salsa[1, 2, 0, 2, 1]"
shard,6,"roast[1, 0, 2, 1, 0]/scare[2, 0, 2, 2, 0]/smarm[2, 0, 2, 2, 0]/shark[2, 2, 2, 2, 0]/sharp[2, 2, 2, 2, 0]"
spent,2,"salet[2, 0, 0, 1, 2]"
rajah,4,"trace[0, 1, 1, 0, 0]/royal[2, 0, 0, 2, 0]/radar[2, 2, 0, 2, 1]"
black,5,"worse[0, 0, 0, 0, 0]/plant[0, 2, 2, 0, 0]/claim[1, 2, 2, 0, 0]/flack[0, 2, 2, 2, 2]"
staid,3,"reast[0, 0, 2, 1, 1]/staph[2, 2, 2, 0, 0]"
abort,5,"snare[0, 0, 1, 2, 0]/hijra[0, 0, 0, 2, 1]/parry[0, 1, 1, 2, 0]/abord[2, 2, 2, 2, 0]"
patsy,6,"atone[1, 1, 0, 0, 0]/shalt[1, 0, 1, 0, 1]/fasti[0, 2, 1, 1, 0]/tacks[1, 2, 0, 0, 1]/matsu[0, 2, 2, 2, 0]"
ripen,4,"crane[0, 1, 0, 1, 1]/reign[2, 1, 1, 0, 2]/risen[2, 2, 0, 2, 2]"
ethic,4,"arise[0, 0, 1, 0, 1]/bicep[0, 1, 1, 1, 0]/xenic[0, 1, 0, 2, 2]"
crust,6,"media[0, 0, 0, 0, 0]/plops[0, 0, 0, 0, 1]/skunk[1, 0, 2, 0, 0]/brust[0, 2, 2, 2, 2]/trust[1, 2, 2, 2, 2]"
swamp,4,"worse[1, 0, 0, 1, 0]/shawn[2, 0, 2, 1, 0]/swaps[2, 2, 2, 1, 1]"
smock,4,"crane[1, 0, 0, 0, 0]/flick[0, 0, 0, 2, 2]/shock[2, 0, 2, 2, 2]"
shaft,6,"anime[1, 0, 0, 0, 0]/dayal[0, 1, 0, 1, 0]/quawk[0, 0, 2, 0, 0]/stabs[2, 1, 2, 0, 1]/shalt[2, 2, 2, 0, 2]"
wimpy,4,"anime[0, 0, 1, 1, 0]/zombi[0, 0, 2, 0, 1]/timps[0, 2, 2, 2, 0]"
snoop,5,"alone[0, 0, 2, 1, 0]/frown[0, 0, 2, 0, 1]/nooks[1, 1, 2, 0, 1]/snood[2, 2, 2, 2, 0]"
limbo,3,"salet[0, 0, 1, 0, 0]/clomb[0, 1, 1, 1, 1]"
mammy,6,"irate[0, 0, 1, 0, 0]/hanks[0, 2, 0, 0, 0]/laddu[0, 2, 0, 0, 0]/bacca[0, 2, 0, 0, 1]/jazzy[0, 2, 0, 0, 2]"
clash,3,"tears[0, 0, 2, 0, 1]/scand[1, 1, 2, 0, 0]"
paper,5,"anime[1, 0, 0, 0, 1]/hejra[0, 1, 0, 1, 1]/lacer[0, 2, 0, 2, 2]/saker[0, 2, 0, 2, 2]"
black,4,"cream[1, 0, 0, 1, 0]/ascot[1, 0, 1, 0, 0]/plica[0, 2, 0, 2, 1]"
tonal,4,"worse[0, 2, 0, 0, 0]/tough[2, 2, 0, 0, 0]/total[2, 2, 1, 2, 2]"
modem,5,"react[0, 1, 0, 0, 0]/oleyl[1, 0, 1, 0, 0]/emong[1, 1, 1, 0, 0]/domed[1, 2, 1, 2, 1]"
ramen,4,"media[1, 1, 0, 0, 1]/harem[0, 2, 1, 2, 1]/gamer[0, 2, 2, 2, 1]"
gravy,5,"roast[1, 0, 2, 0, 0]/acari[1, 0, 2, 1, 0]/grape[2, 2, 2, 0, 0]/grana[2, 2, 2, 0, 1]"
aping,5,"trace[0, 0, 1, 0, 0]/annas[2, 1, 1, 1, 0]/axons[2, 0, 0, 2, 0]/aging[2, 1, 2, 2, 2]"
natal,5,"irate[0, 0, 1, 1, 0]/tagua[1, 2, 0, 0, 1]/batch[0, 2, 2, 0, 0]/patsy[0, 2, 2, 0, 0]"
spawn,3,"sauce[2, 1, 0, 0, 0]/spads[2, 2, 2, 0, 1]"
rhino,4,"snare[0, 1, 0, 1, 0]/prong[0, 1, 1, 2, 0]/rownd[2, 1, 0, 2, 0]"
farce,4,"drape[0, 1, 1, 0, 2]/karee[0, 2, 2, 1, 2]/barge[0, 2, 2, 0, 2]"
kebab,4,"adieu[1, 0, 0, 1, 0]/hable[0, 1, 2, 0, 1]/zebra[0, 2, 2, 0, 1]"
slack,5,"drape[0, 0, 2, 0, 0]/flank[0, 2, 2, 0, 2]/black[0, 2, 2, 2, 2]/clack[1, 2, 2, 2, 2]"
learn,4,"atone[1, 0, 0, 1, 1]/dewan[0, 2, 0, 1, 2]/yearn[0, 2, 2, 2, 2]"
bugle,3,"reast[0, 1, 0, 0, 0]/flume[0, 1, 1, 0, 2]"
cynic,4,"reast[0, 0, 0, 0, 0]/ommin[0, 0, 0, 2, 1]/unzip[0, 1, 0, 2, 0]"
blood,4,"trace[0, 0, 0, 0, 0]/simul[0, 0, 0, 0, 1]/holon[0, 1, 1, 2, 0]"
rebus,5,"slate[1, 0, 0, 0, 1]/greps[0, 1, 1, 0, 2]/heirs[0, 2, 0, 1, 2]/reses[2, 2, 1, 1, 2]"
snipe,5,"roast[0, 0, 0, 1, 0]/seifs[2, 1, 2, 0, 1]/spike[2, 1, 2, 0, 2]/swipe[2, 0, 2, 2, 2]"
swoon,6,"roast[0, 1, 0, 1, 0]/jucos[0, 0, 0, 2, 1]/bisom[0, 0, 1, 2, 0]/sloop[2, 0, 2, 2, 0]/shook[2, 0, 2, 2, 0]"
rouse,4,"roast[2, 2, 0, 2, 0]/rosso[2, 2, 1, 2, 1]/roose[2, 2, 1, 2, 2]"
hardy,5,"sired[0, 0, 2, 0, 1]/daraf[1, 2, 2, 1, 0]/bardo[0, 2, 2, 2, 0]/tardy[0, 2, 2, 2, 2]"
bused,5,"roast[0, 0, 0, 1, 0]/sippy[1, 0, 0, 0, 0]/flews[0, 0, 1, 0, 1]/ensue[1, 0, 2, 1, 1]"
vapor,5,"trace[0, 1, 1, 0, 0]/aburn[1, 0, 0, 1, 0]/mylar[0, 0, 0, 1, 2]/favor[0, 2, 1, 2, 2]"
batch,5,"reast[0, 0, 1, 0, 1]/talak[1, 2, 0, 1, 0]/facty[0, 2, 1, 1, 0]/hatch[1, 2, 2, 2, 2]"
humus,5,"alone[0, 0, 0, 0, 0]/puddy[0, 2, 0, 0, 0]/butut[0, 2, 0, 2, 0]/cucks[0, 2, 0, 0, 2]"
solve,4,"adieu[0, 0, 0, 1, 0]/ceros[0, 1, 0, 1, 1]/stone[2, 0, 1, 0, 2]"
flair,4,"later[1, 1, 0, 0, 2]/molar[0, 0, 1, 1, 2]/glair[0, 2, 2, 2, 2]"
prude,4,"media[0, 1, 1, 0, 0]/shoed[0, 0, 0, 1, 1]/dwelt[1, 0, 1, 0, 0]"
outer,5,"alone[0, 0, 1, 0, 1]/mozes[0, 1, 0, 2, 0]/video[0, 0, 0, 2, 1]/ofter[2, 0, 2, 2, 2]"
towel,4,"roast[0, 2, 0, 0, 1]/hotly[0, 2, 1, 1, 0]/molto[0, 2, 1, 1, 1]"
stoop,5,"react[0, 0, 0, 0, 1]/tiyns[1, 0, 0, 0, 1]/sotto[2, 1, 1, 1, 1]/stook[2, 2, 2, 2, 0]"
newer,4,"roast[1, 0, 0, 0, 0]/brere[0, 1, 1, 1, 1]/merry[0, 2, 1, 1, 0]"
teach,3,"sauce[0, 1, 0, 2, 1]/react[0, 2, 2, 2, 1]"
debut,4,"snare[0, 0, 0, 0, 1]/tiled[1, 0, 0, 1, 1]/detox[2, 2, 1, 0, 0]"
foggy,6,"atone[0, 0, 1, 0, 0]/milos[0, 0, 0, 1, 0]/yoppo[1, 2, 0, 0, 1]/dowry[0, 2, 0, 0, 2]/bobby[0, 2, 0, 0, 2]"
tying,5,"worse[0, 0, 0, 0, 0]/livid[0, 1, 0, 1, 0]/mangi[0, 0, 1, 1, 1]/dying[0, 2, 2, 2, 2]"
biddy,5,"sauce[0, 0, 0, 0, 0]/timid[0, 2, 0, 1, 1]/dingy[1, 2, 0, 0, 2]/widdy[0, 2, 2, 2, 2]"
ether,5,"anime[0, 0, 0, 0, 1]/bedel[0, 1, 0, 2, 0]/sweep[0, 0, 1, 2, 0]/other[0, 2, 2, 2, 2]"
close,5,"paint[0, 0, 0, 0, 0]/buyer[0, 0, 0, 1, 0]/homme[0, 1, 0, 0, 2]/cloke[2, 2, 2, 0, 2]"
chump,3,"drape[0, 0, 0, 1, 0]/putos[1, 1, 0, 0, 0]"
thyme,4,"snare[0, 0, 0, 0, 2]/foxie[0, 0, 0, 0, 2]/emule[1, 1, 0, 0, 2]"
refer,8,"later[0, 0, 0, 2, 2]/sheer[0, 0, 1, 2, 2]/urger[0, 1, 0, 2, 2]/woker[0, 0, 0, 2, 2]/dicer[0, 0, 0, 2, 2]/ember[1, 0, 0, 2, 2]/never[0, 2, 0, 2, 2]"
steed,6,"crane[0, 0, 0, 0, 1]/yokel[0, 0, 0, 2, 0]/mewed[0, 1, 0, 2, 2]/suped[2, 0, 0, 2, 2]/sided[2, 0, 1, 2, 2]"
tangy,6,"cream[0, 0, 0, 1, 0]/paths[0, 2, 1, 0, 0]/daunt[0, 2, 0, 1, 1]/tanka[2, 2, 2, 0, 1]/tanty[2, 2, 2, 1, 2]"
sniff,4,"slate[2, 0, 0, 0, 0]/scums[2, 0, 0, 0, 1]/synod[2, 0, 1, 0, 0]"
ahead,5,"worse[0, 0, 0, 0, 1]/xylem[0, 0, 0, 1, 0]/eject[1, 0, 2, 0, 0]/knead[0, 0, 2, 2, 2]"
liken,5,"crane[0, 0, 0, 1, 1]/pwned[0, 0, 1, 2, 0]/nevel[1, 1, 0, 2, 1]/inlet[1, 1, 1, 2, 0]"
joust,5,"cream[0, 0, 0, 0, 0]/inbox[0, 0, 0, 1, 0]/swots[1, 0, 1, 1, 1]/potsy[0, 2, 1, 2, 0]"
crock,3,"sauce[0, 0, 0, 2, 0]/torch[0, 1, 1, 2, 0]"
rocky,4,"sauce[0, 0, 0, 1, 0]/crool[1, 1, 1, 1, 0]/roric[2, 2, 1, 0, 1]"
cheat,3,"reast[0, 1, 1, 0, 2]/aleft[1, 0, 2, 0, 2]"
spent,3,"alone[0, 0, 0, 2, 1]/deens[0, 1, 2, 2, 1]"
nobly,6,"roast[0, 2, 0, 0, 0]/mowed[0, 2, 0, 0, 0]/voici[0, 2, 0, 0, 0]/poyou[0, 2, 1, 1, 0]/fonly[0, 2, 1, 2, 2]"
latch,8,"paint[0, 2, 0, 0, 1]/vatha[0, 2, 2, 1, 1]/watch[0, 2, 2, 2, 2]/match[0, 2, 2, 2, 2]/hatch[1, 2, 2, 2, 2]/catch[1, 2, 2, 2, 2]/batch[0, 2, 2, 2, 2]"
peach,3,"tears[0, 2, 2, 0, 0]/heald[1, 2, 2, 0, 0]"
twixt,3,"arise[0, 0, 2, 0, 0]/glint[0, 0, 2, 0, 2]"
showy,5,"about[0, 0, 2, 0, 0]/loons[0, 1, 2, 0, 1]/shoed[2, 2, 2, 0, 0]/shock[2, 2, 2, 0, 0]"
abort,4,"slate[0, 0, 1, 1, 0]/baton[1, 1, 1, 1, 0]/about[2, 2, 2, 0, 2]"
oxide,5,"prowl[0, 0, 1, 0, 0]/bobos[0, 1, 0, 1, 0]/otium[2, 0, 2, 0, 0]/ovine[2, 0, 2, 0, 2]"
grove,5,"salet[0, 0, 0, 1, 0]/reefy[1, 1, 1, 0, 0]/horme[0, 1, 1, 0, 2]/drove[0, 2, 2, 2, 2]"
rumor,3,"anime[0, 0, 0, 1, 0]/tomoz[0, 1, 2, 2, 0]"
mamma,3,"anime[1, 0, 0, 2, 0]/marms[2, 2, 0, 2, 0]"
cross,5,"media[0, 0, 0, 0, 0]/shlub[1, 0, 0, 0, 0]/rowns[1, 1, 0, 0, 2]/gross[0, 2, 2, 2, 2]"
spilt,3,"salet[2, 0, 1, 0, 2]/sloot[2, 1, 0, 0, 2]"
snake,7,"cream[0, 0, 1, 1, 0]/wages[0, 1, 0, 1, 1]/suave[2, 0, 2, 0, 2]/skate[2, 1, 2, 0, 2]/spake[2, 0, 2, 2, 2]/shake[2, 0, 2, 2, 2]"
mealy,4,"media[2, 2, 0, 0, 1]/meare[2, 2, 2, 0, 1]/meant[2, 2, 2, 0, 0]"
squad,2,"sauce[2, 1, 2, 0, 0]"
parka,6,"react[1, 0, 1, 0, 0]/jagir[0, 2, 0, 0, 1]/daraf[0, 2, 2, 1, 0]/harsh[0, 2, 2, 0, 0]/larky[0, 2, 2, 2, 0]"
myrrh,3,"atone[0, 0, 0, 0, 0]/dully[0, 0, 0, 0, 1]"
