Solution,Row#,Guesses
mouse,5,"irate[0, 0, 0, 0, 2]/ounce[1, 1, 0, 0, 2]/vouge[0, 2, 2, 0, 2]/louse[0, 2, 2, 2, 2]/mouse[2, 2, 2, 2, 2]"
plump,5,"media[1, 0, 0, 0, 0]/rummy[0, 1, 1, 2, 0]/chump[0, 0, 2, 2, 2]/stump[0, 0, 2, 2, 2]/plump[2, 2, 2, 2, 2]"
saucy,5,"atone[1, 0, 0, 0, 0]/brass[0, 0, 1, 1, 1]/pasha[0, 2, 1, 0, 1]/caids[1, 2, 0, 0, 1]/saucy[2, 2, 2, 2, 2]"
ruler,4,"irate[0, 1, 0, 0, 1]/rumes[2, 2, 0, 2, 0]/ruder[2, 2, 0, 2, 2]/ruler[2, 2, 2, 2, 2]"
queue,6,"prowl[0, 0, 0, 0, 0]/mathe[0, 0, 0, 0, 2]/zinke[0, 0, 0, 0, 2]/deuce[0, 1, 1, 0, 2]/fugue[0, 2, 0, 2, 2]/queue[2, 2, 2, 2, 2]"
chump,4,"trace[0, 0, 0, 1, 0]/mucky[1, 1, 1, 0, 0]/clump[2, 0, 2, 2, 2]/chump[2, 2, 2, 2, 2]"
beset,5,"irate[0, 0, 0, 1, 1]/meted[0, 2, 1, 2, 0]/teeny[1, 2, 1, 0, 0]/beget[2, 2, 0, 2, 2]/beset[2, 2, 2, 2, 2]"
minus,5,"drape[0, 0, 0, 0, 0]/blonx[0, 0, 0, 1, 0]/fungi[0, 1, 2, 0, 1]/sinus[1, 2, 2, 2, 2]/minus[2, 2, 2, 2, 2]"
sigma,2,"anime[1, 0, 1, 2, 0]/sigma[2, 2, 2, 2, 2]"
sixth,8,"about[0, 0, 0, 0, 1]/title[1, 2, 1, 0, 0]/kitke[0, 2, 1, 0, 0]/mifty[0, 2, 0, 2, 0]/ninth[0, 2, 0, 2, 2]/girth[0, 2, 0, 2, 2]/width[0, 2, 0, 2, 2]/sixth[2, 2, 2, 2, 2]"
cello,5,"snare[0, 0, 0, 0, 1]/quell[0, 0, 1, 2, 1]/belly[0, 2, 2, 2, 0]/hello[0, 2, 2, 2, 2]/cello[2, 2, 2, 2, 2]"
steam,4,"tears[1, 1, 1, 0, 1]/sated[2, 1, 1, 1, 0]/steal[2, 2, 2, 2, 0]/steam[2, 2, 2, 2, 2]"
miner,4,"about[0, 0, 0, 0, 0]/dicks[0, 2, 0, 0, 0]/mimer[2, 2, 1, 2, 2]/miner[2, 2, 2, 2, 2]"
again,3,"slate[0, 0, 2, 0, 0]/gramp[1, 0, 2, 0, 0]/again[2, 2, 2, 2, 2]"
friar,5,"tears[0, 0, 1, 1, 0]/narco[0, 1, 1, 0, 0]/argal[1, 2, 0, 2, 0]/briar[0, 2, 2, 2, 2]/friar[2, 2, 2, 2, 2]"
owner,4,"arise[0, 1, 0, 0, 1]/nerdy[1, 1, 1, 0, 0]/toner[0, 1, 2, 2, 2]/owner[2, 2, 2, 2, 2]"
taken,3,"about[1, 0, 0, 0, 1]/pesta[0, 1, 0, 1, 1]/taken[2, 2, 2, 2, 2]"
idyll,4,"irate[2, 0, 0, 0, 0]/ionic[2, 0, 0, 1, 0]/imply[2, 0, 0, 2, 1]/idyll[2, 2, 2, 2, 2]"
buggy,6,"crane[0, 0, 0, 0, 0]/tolly[0, 0, 0, 0, 2]/mizzy[0, 0, 0, 0, 2]/buppy[2, 2, 0, 0, 2]/buddy[2, 2, 0, 0, 2]/buggy[2, 2, 2, 2, 2]"
power,3,"roast[1, 2, 0, 0, 0]/poker[2, 2, 0, 2, 2]/power[2, 2, 2, 2, 2]"
swell,6,"irate[0, 0, 0, 0, 1]/femes[0, 1, 0, 1, 1]/cooey[0, 0, 0, 1, 0]/snebs[2, 0, 2, 0, 1]/spell[2, 0, 2, 2, 2]/swell[2, 2, 2, 2, 2]"
daunt,5,"drape[2, 0, 1, 0, 0]/dikas[2, 0, 0, 1, 0]/dolma[2, 0, 0, 0, 1]/daynt[2, 2, 0, 2, 2]/daunt[2, 2, 2, 2, 2]"
