Solution,Row#,Guesses
alike,4,"roast[0, 0, 1, 0, 0]/kanji[1, 1, 0, 0, 1]/alkie[2, 2, 1, 1, 2]/alike[2, 2, 2, 2, 2]"
basis,4,"anime[1, 0, 1, 0, 0]/hathi[0, 2, 0, 0, 1]/basil[2, 2, 2, 2, 0]/basis[2, 2, 2, 2, 2]"
fussy,4,"sired[1, 0, 0, 0, 0]/moths[0, 0, 0, 0, 1]/casky[0, 0, 2, 0, 2]/fussy[2, 2, 2, 2, 2]"
bible,5,"about[0, 1, 0, 0, 0]/byked[2, 0, 0, 1, 0]/berms[2, 1, 0, 0, 0]/bilge[2, 2, 1, 0, 2]/bible[2, 2, 2, 2, 2]"
canoe,6,"sauce[0, 2, 0, 1, 2]/cadge[2, 2, 0, 0, 2]/carve[2, 2, 0, 0, 2]/cache[2, 2, 1, 0, 2]/calle[2, 2, 0, 0, 2]/canoe[2, 2, 2, 2, 2]"
furry,3,"trace[0, 1, 0, 0, 0]/quirk[0, 2, 0, 2, 0]/furry[2, 2, 2, 2, 2]"
proof,3,"prowl[2, 2, 2, 0, 0]/props[2, 2, 2, 1, 0]/proof[2, 2, 2, 2, 2]"
cubic,3,"sauce[0, 0, 1, 1, 0]/culti[2, 2, 0, 0, 1]/cubic[2, 2, 2, 2, 2]"
ennui,5,"snare[0, 2, 0, 0, 1]/kneed[0, 2, 1, 1, 0]/index[1, 2, 0, 1, 0]/envoi[2, 2, 0, 0, 2]/ennui[2, 2, 2, 2, 2]"
repay,4,"worse[0, 0, 1, 0, 1]/jeera[0, 2, 1, 1, 1]/hepar[0, 2, 2, 2, 1]/repay[2, 2, 2, 2, 2]"
craze,6,"tears[0, 1, 2, 1, 0]/brave[0, 2, 2, 0, 2]/arame[1, 2, 2, 0, 2]/grace[0, 2, 2, 1, 2]/crape[2, 2, 2, 0, 2]/craze[2, 2, 2, 2, 2]"
carol,3,"worse[0, 1, 2, 0, 0]/gyron[0, 0, 2, 2, 0]/carol[2, 2, 2, 2, 2]"
sunny,4,"sauce[2, 0, 1, 0, 0]/suhur[2, 2, 0, 1, 0]/sully[2, 2, 0, 0, 2]/sunny[2, 2, 2, 2, 2]"
mouse,3,"adieu[0, 0, 0, 1, 1]/munge[2, 1, 0, 0, 2]/mouse[2, 2, 2, 2, 2]"
madam,3,"media[2, 0, 2, 0, 1]/madal[2, 2, 2, 2, 0]/madam[2, 2, 2, 2, 2]"
plush,5,"atone[0, 0, 0, 0, 0]/quick[0, 1, 0, 0, 0]/shush[1, 1, 2, 2, 2]/blush[0, 2, 2, 2, 2]/plush[2, 2, 2, 2, 2]"
broil,4,"arise[0, 2, 1, 0, 0]/groin[0, 2, 2, 2, 0]/droil[0, 2, 2, 2, 2]/broil[2, 2, 2, 2, 2]"
soggy,4,"crate[0, 0, 0, 0, 0]/plums[0, 0, 0, 0, 1]/godso[1, 2, 0, 1, 1]/soggy[2, 2, 2, 2, 2]"
lapse,4,"sauce[1, 2, 0, 0, 2]/manse[0, 2, 0, 2, 2]/parse[1, 2, 0, 2, 2]/lapse[2, 2, 2, 2, 2]"
faint,5,"sired[0, 1, 0, 0, 0]/lawin[0, 2, 0, 1, 1]/paint[0, 2, 2, 2, 2]/taint[1, 2, 2, 2, 2]/faint[2, 2, 2, 2, 2]"
triad,5,"sauce[0, 1, 0, 0, 0]/villa[0, 1, 0, 0, 1]/imagy[1, 0, 1, 0, 0]/atrip[1, 1, 1, 1, 0]/triad[2, 2, 2, 2, 2]"
blink,5,"worse[0, 0, 0, 0, 0]/vacua[0, 0, 0, 0, 0]/pight[0, 1, 0, 0, 0]/blind[2, 2, 2, 2, 0]/blink[2, 2, 2, 2, 2]"
koala,4,"tears[0, 0, 2, 0, 0]/plaud[0, 1, 2, 0, 0]/coaly[0, 2, 2, 2, 0]/koala[2, 2, 2, 2, 2]"
least,5,"prowl[0, 0, 0, 0, 1]/alcea[1, 1, 0, 1, 1]/valve[0, 1, 1, 0, 1]/meals[0, 2, 2, 1, 1]/least[2, 2, 2, 2, 2]"
admin,3,"irate[1, 0, 1, 0, 0]/ahind[2, 0, 1, 1, 1]/admin[2, 2, 2, 2, 2]"
funky,4,"about[0, 0, 0, 1, 0]/muffs[0, 2, 1, 1, 0]/fuses[2, 2, 0, 0, 0]/funky[2, 2, 2, 2, 2]"
tweed,5,"crane[0, 0, 0, 0, 1]/pesky[0, 1, 0, 0, 0]/immew[0, 0, 0, 2, 1]/dweeb[1, 2, 2, 2, 0]/tweed[2, 2, 2, 2, 2]"
clink,3,"crane[2, 0, 0, 2, 0]/clung[2, 2, 0, 2, 0]/clink[2, 2, 2, 2, 2]"
lyric,3,"tears[0, 0, 0, 1, 0]/rubin[1, 0, 0, 2, 0]/lyric[2, 2, 2, 2, 2]"
scene,3,"alone[0, 0, 0, 2, 2]/spine[2, 0, 0, 2, 2]/scene[2, 2, 2, 2, 2]"
halve,5,"react[0, 1, 1, 0, 0]/dazed[0, 2, 0, 1, 0]/eagle[1, 2, 0, 1, 2]/false[0, 2, 2, 0, 2]/halve[2, 2, 2, 2, 2]"
hymen,4,"crate[0, 0, 0, 0, 1]/pepsi[0, 1, 0, 0, 0]/noded[1, 0, 0, 2, 0]/hymen[2, 2, 2, 2, 2]"
limbo,6,"prowl[0, 0, 1, 0, 1]/kyloe[0, 0, 1, 1, 0]/voila[0, 1, 1, 1, 0]/litho[2, 2, 0, 0, 2]/lingo[2, 2, 0, 0, 2]/limbo[2, 2, 2, 2, 2]"
berry,4,"sired[0, 0, 2, 1, 0]/tarte[0, 0, 2, 0, 1]/heron[0, 2, 2, 0, 0]/berry[2, 2, 2, 2, 2]"
spook,6,"snare[2, 0, 0, 0, 0]/swims[2, 0, 0, 0, 1]/sposh[2, 2, 2, 1, 0]/spool[2, 2, 2, 2, 0]/spoof[2, 2, 2, 2, 0]/spook[2, 2, 2, 2, 2]"
knoll,4,"paint[0, 0, 0, 1, 0]/zoner[0, 1, 1, 0, 0]/unbox[0, 2, 0, 1, 0]/knoll[2, 2, 2, 2, 2]"
ripen,3,"prowl[1, 1, 0, 0, 0]/repin[2, 1, 2, 1, 2]/ripen[2, 2, 2, 2, 2]"
grime,6,"sired[0, 1, 1, 1, 0]/beira[0, 1, 2, 1, 0]/rhine[1, 0, 2, 0, 2]/trice[0, 2, 2, 0, 2]/prize[0, 2, 2, 0, 2]/grime[2, 2, 2, 2, 2]"
reedy,5,"cream[0, 1, 2, 0, 0]/ewers[1, 0, 2, 1, 0]/pheer[0, 0, 2, 1, 1]/reefy[2, 2, 2, 0, 2]/reedy[2, 2, 2, 2, 2]"
vogue,4,"prowl[0, 0, 1, 0, 0]/goafs[1, 2, 0, 0, 0]/dough[0, 2, 1, 1, 0]/vogue[2, 2, 2, 2, 2]"
roger,5,"cream[0, 1, 1, 0, 0]/kerve[0, 1, 1, 0, 1]/rythe[2, 0, 0, 0, 1]/rouen[2, 2, 0, 2, 0]/roger[2, 2, 2, 2, 2]"
proud,4,"react[1, 0, 0, 0, 0]/boors[0, 1, 2, 1, 0]/flour[0, 0, 2, 2, 1]/proud[2, 2, 2, 2, 2]"
award,5,"drape[1, 1, 2, 0, 0]/shard[0, 0, 2, 2, 2]/board[0, 0, 2, 2, 2]/guard[0, 0, 2, 2, 2]/award[2, 2, 2, 2, 2]"
heave,6,"alone[1, 0, 0, 0, 2]/quake[0, 0, 2, 0, 2]/space[0, 0, 2, 0, 2]/trade[0, 0, 2, 0, 2]/image[0, 0, 2, 0, 2]/heave[2, 2, 2, 2, 2]"
refit,4,"cream[0, 1, 1, 0, 0]/rides[2, 1, 0, 1, 0]/rorie[2, 0, 1, 2, 1]/refit[2, 2, 2, 2, 2]"
botch,5,"reast[0, 0, 0, 0, 1]/muntu[0, 0, 0, 1, 0]/tilly[1, 0, 0, 0, 0]/hotch[1, 2, 2, 2, 2]/botch[2, 2, 2, 2, 2]"
picky,4,"arise[0, 0, 1, 0, 0]/tophi[0, 0, 1, 0, 1]/jimpy[0, 2, 0, 1, 2]/picky[2, 2, 2, 2, 2]"
rehab,5,"slate[0, 0, 1, 0, 1]/jager[0, 1, 0, 1, 1]/opera[0, 0, 1, 1, 1]/renay[2, 2, 0, 2, 0]/rehab[2, 2, 2, 2, 2]"
topic,4,"salet[0, 0, 0, 0, 1]/potty[1, 2, 1, 1, 0]/tophi[2, 2, 2, 0, 1]/topic[2, 2, 2, 2, 2]"
stunt,7,"irate[0, 0, 0, 1, 0]/tossy[1, 0, 1, 1, 0]/shtup[2, 0, 1, 1, 0]/stuff[2, 2, 2, 0, 0]/stuck[2, 2, 2, 0, 0]/studs[2, 2, 2, 0, 1]/stunt[2, 2, 2, 2, 2]"
prong,4,"react[1, 0, 0, 0, 0]/origo[1, 2, 0, 1, 1]/groom[1, 2, 2, 1, 0]/prong[2, 2, 2, 2, 2]"
brass,4,"atone[1, 0, 0, 0, 0]/basas[2, 1, 1, 1, 2]/bursa[2, 0, 1, 2, 1]/brass[2, 2, 2, 2, 2]"
opine,5,"salet[0, 0, 0, 1, 0]/drice[0, 0, 2, 0, 2]/knife[0, 1, 2, 0, 2]/ovine[2, 0, 2, 2, 2]/opine[2, 2, 2, 2, 2]"
dwell,4,"reast[0, 1, 0, 0, 0]/exfil[1, 0, 0, 0, 2]/bowel[0, 0, 1, 1, 2]/dwell[2, 2, 2, 2, 2]"
grime,3,"arise[0, 2, 2, 0, 2]/gripe[2, 2, 2, 0, 2]/grime[2, 2, 2, 2, 2]"
laugh,7,"tears[0, 0, 1, 0, 0]/cacao[0, 2, 0, 1, 0]/gadid[1, 2, 0, 0, 0]/baggy[0, 2, 1, 2, 0]/manga[0, 2, 0, 2, 1]/haugh[1, 2, 2, 2, 2]/laugh[2, 2, 2, 2, 2]"
shyly,4,"adieu[0, 0, 0, 0, 0]/synch[2, 1, 0, 0, 1]/sophy[2, 0, 0, 1, 2]/shyly[2, 2, 2, 2, 2]"
flume,4,"arise[0, 0, 0, 0, 2]/blume[0, 2, 2, 2, 2]/plume[0, 2, 2, 2, 2]/flume[2, 2, 2, 2, 2]"
voice,5,"tears[0, 1, 0, 0, 0]/gleed[0, 0, 1, 1, 0]/monde[0, 2, 0, 0, 2]/cooee[1, 2, 1, 1, 2]/voice[2, 2, 2, 2, 2]"
singe,7,"cream[0, 0, 1, 0, 0]/oxide[0, 0, 1, 0, 2]/yitie[0, 2, 0, 1, 2]/ligne[0, 2, 1, 1, 2]/binge[0, 2, 2, 2, 2]/ginge[1, 2, 2, 2, 2]/singe[2, 2, 2, 2, 2]"
freer,5,"atone[0, 0, 0, 0, 1]/seism[0, 1, 0, 0, 0]/pukey[0, 0, 0, 2, 0]/elder[1, 0, 0, 2, 2]/freer[2, 2, 2, 2, 2]"
sepia,3,"sired[2, 1, 0, 1, 0]/spine[2, 1, 1, 0, 1]/sepia[2, 2, 2, 2, 2]"
shack,4,"alone[1, 0, 0, 0, 0]/prads[0, 0, 2, 0, 1]/shaka[2, 2, 2, 1, 1]/shack[2, 2, 2, 2, 2]"
adore,4,"irate[0, 1, 1, 0, 2]/marge[0, 1, 1, 0, 2]/afore[2, 0, 2, 2, 2]/adore[2, 2, 2, 2, 2]"
chest,4,"arise[0, 0, 0, 2, 1]/blest[0, 0, 2, 2, 2]/ghest[0, 2, 2, 2, 2]/chest[2, 2, 2, 2, 2]"
gonad,5,"crane[0, 0, 1, 1, 0]/ankus[1, 1, 0, 0, 0]/dandy[1, 1, 2, 1, 0]/honda[0, 2, 2, 1, 1]/gonad[2, 2, 2, 2, 2]"
gaudy,4,"tears[0, 0, 1, 0, 0]/ogham[0, 1, 0, 1, 0]/pinga[0, 0, 0, 1, 1]/gaudy[2, 2, 2, 2, 2]"
smell,5,"snare[2, 0, 0, 0, 1]/selfs[2, 1, 1, 0, 1]/steel[2, 0, 2, 1, 2]/shell[2, 0, 2, 2, 2]/smell[2, 2, 2, 2, 2]"
prime,5,"arise[0, 2, 2, 0, 2]/price[2, 2, 2, 0, 2]/pride[2, 2, 2, 0, 2]/prize[2, 2, 2, 0, 2]/prime[2, 2, 2, 2, 2]"
creep,5,"atone[0, 0, 0, 0, 1]/bleed[0, 0, 2, 2, 0]/creds[2, 2, 2, 0, 0]/creek[2, 2, 2, 2, 0]/creep[2, 2, 2, 2, 2]"
poesy,4,"snare[1, 0, 0, 0, 1]/gyves[0, 1, 0, 1, 1]/testy[0, 1, 1, 0, 2]/poesy[2, 2, 2, 2, 2]"
steer,5,"prowl[0, 1, 0, 0, 0]/barby[0, 0, 1, 0, 0]/edger[1, 0, 0, 2, 2]/miser[0, 0, 1, 2, 2]/steer[2, 2, 2, 2, 2]"
pinky,5,"alone[0, 0, 0, 1, 0]/night[1, 2, 0, 0, 0]/zincy[0, 2, 2, 0, 2]/kinky[1, 2, 2, 2, 2]/pinky[2, 2, 2, 2, 2]"
tried,4,"later[0, 0, 1, 2, 1]/mbret[0, 0, 1, 2, 1]/trees[2, 2, 1, 2, 0]/tried[2, 2, 2, 2, 2]"
roost,4,"about[0, 0, 2, 0, 2]/stoit[1, 1, 2, 0, 2]/frost[0, 1, 2, 2, 2]/roost[2, 2, 2, 2, 2]"
rearm,3,"cream[0, 1, 1, 1, 2]/harem[0, 1, 1, 1, 2]/rearm[2, 2, 2, 2, 2]"
baron,4,"react[1, 0, 1, 0, 0]/umras[0, 0, 2, 1, 0]/apron[1, 0, 2, 2, 2]/baron[2, 2, 2, 2, 2]"
trait,4,"crate[0, 2, 2, 1, 0]/brant[0, 2, 2, 0, 2]/graft[0, 2, 2, 0, 2]/trait[2, 2, 2, 2, 2]"
rigor,4,"reast[2, 0, 0, 0, 0]/rugby[2, 0, 2, 0, 0]/rigid[2, 2, 2, 1, 0]/rigor[2, 2, 2, 2, 2]"
crime,4,"roast[1, 0, 0, 0, 0]/preen[0, 2, 1, 1, 0]/cried[2, 2, 2, 1, 0]/crime[2, 2, 2, 2, 2]"
erase,3,"sired[1, 0, 1, 1, 0]/grews[0, 2, 1, 0, 1]/erase[2, 2, 2, 2, 2]"
aptly,4,"anime[2, 0, 0, 0, 0]/aflap[2, 0, 1, 1, 1]/alpha[2, 1, 1, 0, 1]/aptly[2, 2, 2, 2, 2]"
siege,4,"irate[1, 0, 0, 0, 2]/seize[2, 1, 1, 0, 2]/since[2, 2, 0, 0, 2]/siege[2, 2, 2, 2, 2]"
brake,6,"drape[0, 2, 2, 0, 2]/craze[0, 2, 2, 0, 2]/frate[0, 2, 2, 0, 2]/erase[1, 2, 2, 0, 2]/brave[2, 2, 2, 0, 2]/brake[2, 2, 2, 2, 2]"
camel,5,"drape[0, 0, 1, 0, 1]/asses[1, 0, 0, 2, 0]/babel[0, 2, 0, 2, 2]/navel[0, 2, 0, 2, 2]/camel[2, 2, 2, 2, 2]"
sweat,3,"salet[2, 1, 0, 1, 2]/speat[2, 0, 2, 2, 2]/sweat[2, 2, 2, 2, 2]"
plump,4,"tears[0, 0, 0, 0, 0]/hoppy[0, 0, 1, 1, 0]/pumpy[2, 1, 1, 1, 0]/plump[2, 2, 2, 2, 2]"
stuff,6,"snare[2, 0, 0, 0, 0]/soggy[2, 0, 0, 0, 0]/still[2, 2, 0, 0, 0]/stuck[2, 2, 2, 0, 0]/stums[2, 2, 2, 0, 1]/stuff[2, 2, 2, 2, 2]"
chuck,5,"slate[0, 0, 0, 0, 0]/howdy[1, 0, 0, 0, 0]/burgh[0, 1, 0, 0, 1]/chunk[2, 2, 2, 0, 2]/chuck[2, 2, 2, 2, 2]"
blaze,5,"later[1, 1, 0, 1, 0]/pelau[0, 1, 1, 1, 0]/chela[0, 0, 1, 1, 1]/blade[2, 2, 2, 0, 2]/blaze[2, 2, 2, 2, 2]"
meter,5,"later[0, 0, 2, 2, 2]/outer[0, 0, 2, 2, 2]/ester[1, 0, 2, 2, 2]/miter[2, 0, 2, 2, 2]/meter[2, 2, 2, 2, 2]"
trite,2,"trace[2, 2, 0, 0, 2]/trite[2, 2, 2, 2, 2]"
night,4,"later[0, 0, 1, 0, 0]/shoot[0, 1, 0, 0, 2]/tight[1, 2, 2, 2, 2]/night[2, 2, 2, 2, 2]"
aroma,3,"drape[0, 2, 1, 0, 0]/trona[0, 2, 2, 0, 2]/aroma[2, 2, 2, 2, 2]"
idiot,4,"media[0, 0, 1, 1, 0]/ditty[1, 1, 1, 1, 0]/odist[1, 2, 2, 0, 2]/idiot[2, 2, 2, 2, 2]"
chief,5,"irate[1, 0, 0, 0, 1]/eying[1, 0, 2, 0, 0]/obied[0, 0, 2, 2, 0]/clies[2, 0, 2, 2, 0]/chief[2, 2, 2, 2, 2]"
upset,4,"trace[1, 0, 0, 0, 1]/meynt[0, 1, 0, 0, 2]/bluet[0, 0, 1, 2, 2]/upset[2, 2, 2, 2, 2]"
munch,3,"cream[1, 0, 0, 0, 1]/mutch[2, 2, 0, 2, 2]/munch[2, 2, 2, 2, 2]"
gonad,4,"snare[0, 1, 1, 0, 0]/jawan[0, 1, 0, 2, 1]/linac[0, 0, 2, 2, 0]/gonad[2, 2, 2, 2, 2]"
tiger,6,"salet[0, 0, 0, 2, 1]/tweed[2, 0, 1, 2, 0]/tupek[2, 0, 0, 2, 0]/toter[2, 0, 1, 2, 2]/trier[2, 1, 1, 2, 2]/tiger[2, 2, 2, 2, 2]"
fried,3,"irate[1, 2, 0, 0, 1]/ureid[0, 2, 1, 1, 2]/fried[2, 2, 2, 2, 2]"
cheer,5,"crane[2, 1, 0, 0, 1]/cider[2, 0, 0, 2, 2]/corer[2, 0, 1, 2, 2]/cyber[2, 0, 0, 2, 2]/cheer[2, 2, 2, 2, 2]"
topaz,4,"trace[2, 0, 1, 0, 0]/taint[2, 1, 0, 0, 1]/tulpa[2, 0, 0, 1, 1]/topaz[2, 2, 2, 2, 2]"
pixel,5,"later[1, 0, 0, 2, 0]/elven[1, 1, 0, 2, 0]/holes[0, 0, 1, 2, 0]/jewel[0, 1, 0, 2, 2]/pixel[2, 2, 2, 2, 2]"
quash,5,"prowl[0, 0, 0, 0, 0]/memes[0, 0, 0, 0, 1]/sixth[1, 0, 0, 0, 2]/agush[1, 0, 1, 2, 2]/quash[2, 2, 2, 2, 2]"
otter,5,"crane[0, 1, 0, 0, 1]/ruses[1, 0, 0, 2, 0]/deter[0, 1, 2, 2, 2]/voter[0, 1, 2, 2, 2]/otter[2, 2, 2, 2, 2]"
caper,4,"slate[0, 0, 1, 0, 1]/ravey[1, 2, 0, 2, 0]/pareo[1, 2, 1, 2, 0]/caper[2, 2, 2, 2, 2]"
bonus,4,"tears[0, 0, 0, 0, 2]/sumps[1, 1, 0, 0, 2]/uncus[1, 1, 0, 2, 2]/bonus[2, 2, 2, 2, 2]"
pound,3,"sired[0, 0, 0, 0, 2]/ungod[1, 1, 0, 1, 2]/pound[2, 2, 2, 2, 2]"
awful,4,"crane[0, 0, 1, 0, 0]/pujah[0, 1, 0, 1, 0]/mausy[0, 1, 1, 0, 0]/awful[2, 2, 2, 2, 2]"
decay,5,"later[0, 1, 0, 1, 0]/agape[1, 0, 1, 0, 1]/knave[0, 0, 1, 0, 1]/decaf[2, 2, 2, 2, 0]/decay[2, 2, 2, 2, 2]"
vying,5,"salet[0, 0, 0, 0, 0]/hound[0, 0, 0, 2, 0]/icing[1, 0, 2, 2, 2]/wring[0, 0, 2, 2, 2]/vying[2, 2, 2, 2, 2]"
match,5,"snare[0, 0, 1, 0, 0]/wazoo[0, 2, 0, 0, 0]/pamby[0, 2, 1, 0, 0]/makaf[2, 2, 0, 1, 0]/match[2, 2, 2, 2, 2]"
cacao,4,"paint[0, 2, 0, 0, 0]/gajos[0, 2, 0, 1, 0]/macro[0, 2, 2, 0, 2]/cacao[2, 2, 2, 2, 2]"
finer,6,"reast[1, 1, 0, 0, 0]/gyred[0, 0, 1, 2, 0]/ulcer[0, 0, 0, 2, 2]/emmer[1, 0, 0, 2, 2]/piner[0, 2, 2, 2, 2]/finer[2, 2, 2, 2, 2]"
mouse,6,"about[0, 0, 1, 1, 0]/furor[0, 1, 0, 1, 0]/louse[0, 2, 2, 2, 2]/souse[1, 2, 2, 2, 2]/house[0, 2, 2, 2, 2]/mouse[2, 2, 2, 2, 2]"
outgo,4,"roast[0, 1, 0, 0, 1]/cloth[0, 0, 1, 1, 0]/tenon[1, 0, 0, 1, 0]/outgo[2, 2, 2, 2, 2]"
pinch,5,"drape[0, 0, 0, 1, 0]/slump[0, 0, 0, 0, 1]/topoi[0, 0, 1, 0, 1]/picky[2, 2, 1, 0, 0]/pinch[2, 2, 2, 2, 2]"
sleet,6,"anime[0, 0, 0, 0, 1]/zests[0, 1, 1, 1, 1]/goest[0, 0, 2, 1, 2]/sheet[2, 0, 2, 2, 2]/sweet[2, 0, 2, 2, 2]/sleet[2, 2, 2, 2, 2]"
coast,3,"salet[1, 1, 0, 0, 2]/ascot[1, 1, 1, 1, 2]/coast[2, 2, 2, 2, 2]"
viola,5,"media[0, 0, 0, 1, 2]/trifa[0, 0, 1, 0, 2]/inula[1, 0, 0, 2, 2]/villa[2, 2, 1, 2, 2]/viola[2, 2, 2, 2, 2]"
broth,5,"crane[0, 2, 0, 0, 0]/prosy[0, 2, 2, 0, 0]/brook[2, 2, 2, 1, 0]/broil[2, 2, 2, 0, 0]/broth[2, 2, 2, 2, 2]"
chuck,3,"react[0, 0, 0, 2, 0]/bunco[0, 1, 0, 2, 0]/chuck[2, 2, 2, 2, 2]"
waxen,5,"paint[0, 2, 0, 1, 0]/saner[0, 2, 1, 2, 0]/naled[1, 2, 0, 2, 0]/oaken[0, 2, 0, 2, 2]/waxen[2, 2, 2, 2, 2]"
shock,4,"cream[1, 0, 0, 0, 0]/yucky[0, 0, 1, 1, 0]/stock[2, 0, 2, 2, 2]/shock[2, 2, 2, 2, 2]"
pesto,5,"crane[0, 0, 0, 0, 1]/wheel[0, 0, 1, 1, 0]/deity[0, 2, 0, 2, 0]/setts[1, 2, 1, 2, 1]/pesto[2, 2, 2, 2, 2]"
login,3,"paint[0, 0, 1, 1, 0]/infos[1, 1, 0, 1, 0]/login[2, 2, 2, 2, 2]"
chief,4,"roast[0, 0, 0, 0, 0]/bendy[0, 1, 0, 0, 0]/cleep[2, 0, 1, 2, 0]/chief[2, 2, 2, 2, 2]"
shied,3,"cream[0, 0, 1, 0, 0]/lowes[0, 0, 0, 2, 1]/shied[2, 2, 2, 2, 2]"
novel,5,"tears[0, 1, 0, 0, 0]/ozzie[1, 0, 0, 0, 1]/dowed[0, 2, 0, 2, 0]/honey[0, 2, 1, 2, 0]/novel[2, 2, 2, 2, 2]"
ranch,4,"later[0, 2, 0, 0, 1]/harsh[1, 2, 1, 0, 2]/rajah[2, 2, 0, 1, 2]/ranch[2, 2, 2, 2, 2]"
layer,5,"snare[0, 0, 1, 1, 1]/caper[0, 2, 0, 2, 2]/yager[1, 2, 0, 2, 2]/bayer[0, 2, 2, 2, 2]/layer[2, 2, 2, 2, 2]"
spore,4,"cream[0, 1, 1, 0, 0]/roble[1, 1, 0, 0, 2]/shore[2, 0, 2, 2, 2]/spore[2, 2, 2, 2, 2]"
minty,4,"paint[0, 0, 1, 1, 1]/rutin[0, 0, 1, 1, 1]/vints[0, 2, 2, 2, 0]/minty[2, 2, 2, 2, 2]"
bayou,5,"later[0, 2, 0, 0, 0]/napas[0, 2, 0, 1, 0]/yabba[1, 2, 1, 1, 1]/baccy[2, 2, 0, 0, 1]/bayou[2, 2, 2, 2, 2]"
nomad,3,"sired[0, 0, 0, 0, 2]/blond[0, 0, 1, 1, 2]/nomad[2, 2, 2, 2, 2]"
